"sp.no","Block","Plot","plant","Genus"
507,"B",1,"NAVSQUA","ceratina "
508,"B",1,"NAVINT","mellisodes"
509,"B",6,"CLAAMO","ceratina "
510,"A",5,"CLAPUR","ceratina "
511,"B",6,"CLAAMO","ceratina "
512,"B",5,"CLAAMO","ceratina "
513,"B",4,"CLAAMO","ceratina "
514,"A",6,"NAVINT","ceratina "
515,"A",4,"CLAAMO","ceratina "
516,"A",4,"CLAAMO","ceratina "
517,"A",3,"CLAAMO","halictus"
518,"A",3,"CLAAMO","ceratina "
519,"B",5,"PLAFIG","ceratina "
520,"B",5,"PLAFIG","ceratina "
521,"B",3,"CLAAMO","ceratina "
522,"C",1,"GILCAP","ceratina "
523,"",4,"MICGRA","osmia"
524,"A",1,"CLAPUR","ceratina "
525,"A",1,"CLAPUR","apis"
526,"B",6,"CLAPUR","ceratina "
527,"A",1,"CLAPUR","apis"
528,"A",4,"CLAPUR","apis"
529,"A",4,"CLAPUR","ceratina "
530,"A",2,"CLAPUR","apis"
531,"A",4,"CLAPUR","apis"
532,"A",2,"CLAPUR","ceratina "
533,"A",6,"CLAPUR","ceratina "
534,"C",1,"CLAPUR","apis"
535,"A",6,"CLAPUR","apis"
536,"A",4,"CLAPUR","apis"
537,"A",3,"CLAPUR","apis"
538,"A",3,"CLAPUR","ceratina "
539,"A",4,"CLAPUR","ceratina "
540,"A",2,"CLAPUR","apis"
541,"A",5,"CLAPUR","apis"
542,"B",1,"CLAPUR","osmia"
543,"A",1,"CLAPUR","apis"
544,"A",2,"CLAPUR","apis"
545,"A",3,"CLAPUR","apis"
546,"C",1,"GILCAP","ceratina "
547,"A",2,"CLAPUR","apis"
548,"A",6,"CLAPUR","ceratina "
549,"C",1,"GILCAP","apis"
550,"A",3,"CLAPUR","apis"
551,"A",5,"CLAPUR","halictus"
552,"A",5,"COLLOGRA","ceratina "
553,"A",2,"CLAPUR","ceratina "
554,"C",5,"CLAPUR","apis"
555,"C",3,"CLAAMO","halictus"
556,"A",1,"CLAAMO","ceratina "
557,"C",6,"COLLOGRA","bombus"
558,"C",3,"CLAAMO","megachile"
559,"C",1,"CLAAMO","ceratina "
560,"C",1,"CLAAMO","mellisodes"
561,"B",5,"EPIDEN","ceratina "
562,"B",2,"CLAAMO","ceratina "
563,"B",6,"CLAAMO","syrphus"
564,"B",4,"CLAAMO","ceratina "
565,"A",6,"CLAPUR","apis"
566,"B",2,"NAVINT","sphaerophoria"
567,"C",1,"CLAAMO","halictus"
568,"B",4,"CLAAMO","eristalis"
569,"A",4,"CLAAMO","ceratina "
570,"A",6,"CLAPUR","ceratina "
571,"A",1,"CLAAMO","ceratina "
572,"A",1,"CLAAMO","ceratina "
573,"B",3,"NAVSQUA","osmia"
574,"A",1,"CLAAMO","ceratina "
575,"A",3,"CLAAMO","ceratina "
576,"A",1,"CLAAMO","ceratina "
577,"B",4,"EPIDEN","ceratina "
578,"B",5,"CLAAMO","ceratina "
579,"A",3,"CLAAMO","ceratina "
580,"A",3,"CLAAMO","ceratina "
582,"B",5,"CLAAMO","ceratina "
583,"A",3,"CLAAMO","ceratina "
584,"B",4,"CLAAMO","ceratina "
585,"A",4,"CLAAMO","ceratina "
586,"B",6,"CLAAMO","ceratina "
587,"A",1,"CLAAMO","ceratina "
588,"C",5,"EPIDEN","sphaerophoria"
589,"B",4,"CLAAMO","apis"
590,"B",6,"CLAAMO","ceratina "
591,"A",4,"CLAAMO","ceratina "
592,"C",1,"CLAAMO","ceratina "
593,"B",5,"CLAAMO","ceratina "
594,"A",1,"CLAAMO","ceratina "
595,"A",2,"CLAPUR","apis"
596,"B",6,"CLAAMO","ceratina "
597,"A",2,"CLAPUR","apis"
598,"B",2,"CLAAMO","halictus"
599,"B",6,"CLAAMO","ceratina "
600,"B",6,"CLAAMO","ceratina "
601,"A",4,"CLAAMO","ceratina "
602,"A",1,"CLAAMO","ceratina "
603,"B",2,"CLAPUR","halictus"
604,"A",1,"CLAAMO","ceratina "
605,"A",1,"CLAAMO","ceratina "
606,"B",6,"CLAAMO","ceratina "
607,"B",4,"CLAAMO","ceratina "
608,"B",2,"CLAAMO","ceratina "
609,"B",6,"EPIDEN","ceratina "
610,"A",1,"CLAAMO","megachile"
611,"A",5,"NAVINT","ceratina "
612,"B",1,"NAVSQUA","ceratina "
613,"A",6,"CLAPUR","ceratina "
614,"A",4,"CLAAMO","ceratina "
615,"A",1,"CLAAMO","ceratina "
616,"B",1,"EPIDEN","ceratina "
617,"A",5,"CLAPUR","ceratina "
618,"B",4,"CLAAMO","ceratina "
619,"A",3,"CLAAMO","ceratina "
620,"B",6,"CLAAMO","ceratina "
621,"B",1,"NAVINT","ceratina "
